iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
0,2039.98,37.6334,20874,1104,418,0,39957,951032,1791.44,40.2645,0.164,1.99164e+07,20,24796,2030.34,2230.85
1,2041.36,46.5255,19275,7213,387,418,52019,926742,2763.02,41.77,0.226,1.99164e+07,20,24796,2009.82,2141.51
2,2050.27,50.6544,18995,7869,381,387,63145,906315,3580.09,43.5467,0.238,1.99164e+07,20,24796,2000.05,2126.14
3,2046.08,53.7804,19292,9089,386,381,73348,890263,4222.18,45.5825,0.228,1.99164e+07,20,24796,1981.43,2134
4,2050.34,55.7664,19406,9249,392,386,83505,875530,4811.51,47.6069,0.216,1.99164e+07,20,24796,1985.17,2127.61
5,2057.93,57.8847,18996,11995,382,392,90506,870312,5020.25,50.096,0.236,1.99164e+07,20,24796,1979.98,2138.76
6,2047.67,61.5397,19313,11150,390,382,98669,863433,5295.38,52.2529,0.22,1.99164e+07,20,24796,1965.78,2123.15
7,2058.98,62.2388,19033,12265,383,390,105437,861801,5360.66,54.7125,0.234,1.99164e+07,20,24796,1960.84,2171.44
8,2044.74,64.7254,19140,12465,385,383,112112,862085,5349.3,57.0539,0.23,1.99164e+07,20,24796,1951.08,2146.07
9,2049.13,66.4927,19257,10971,388,385,120398,858116,5508.08,59.0427,0.224,1.99164e+07,20,24796,1948.76,2152.78
10,2059.09,68.1115,19071,12421,383,388,127048,860043,5430.98,61.2164,0.234,1.99164e+07,20,24796,1951.86,2180.85
11,2063.5,69.1822,19450,11499,390,383,134999,859262,5462.25,63.1802,0.22,1.99164e+07,20,24796,1945.01,2180.73
12,2054.62,70.6766,19261,11718,386,390,142542,860317,5420.02,65.0664,0.228,1.99164e+07,20,24796,1942.97,2173.3
13,2050,72.6568,19017,11374,385,386,150185,861337,5379.21,66.7996,0.23,1.99164e+07,20,24796,1945.23,2188.03
14,2050.3,73.3225,19379,10192,391,385,159372,858299,5500.75,68.3192,0.218,1.99164e+07,20,24796,1926.27,2189.56
15,2060.39,74.7725,19018,10331,380,391,168059,857347,5538.84,69.7374,0.24,1.99164e+07,20,24796,1933.12,2206.12
16,2064.26,75.4091,19312,8675,387,380,178696,850022,5831.81,70.8725,0.226,1.99164e+07,20,24796,1913.37,2212.64
17,2060.14,76.4034,19286,9807,387,387,188175,847503,5932.59,72.0555,0.226,1.99164e+07,20,24796,1920.75,2202.25
18,2047.2,77.8019,18853,12374,381,387,194654,856086,5589.26,73.4563,0.238,1.99164e+07,20,24796,1915.27,2207.47
19,2052.78,78.7088,19511,10270,392,381,203895,855847,5598.84,74.5652,0.216,1.99164e+07,20,24796,1908.01,2211.38
20,2051.79,78.8532,19095,12111,384,392,210879,863861,5278.26,75.8291,0.232,1.99164e+07,20,24796,1905.6,2221.03
21,2049.91,80.2752,19057,10107,385,384,219829,864589,5249.16,76.7674,0.23,1.99164e+07,20,24796,1900.38,2227.63
22,2061.95,80.3044,18816,9641,377,385,229004,864191,5265.09,77.647,0.246,1.99164e+07,20,24796,1912.45,2231.83
23,2052.16,81.1494,19501,8553,393,377,239952,858393,5497.01,78.329,0.214,1.99164e+07,20,24796,1897.14,2227.97
24,2053.73,81.6861,19355,9483,390,393,249824,856811,5560.28,79.0271,0.22,1.99164e+07,20,24796,1899.07,2221.71
25,2056.83,82.3705,18989,9958,382,390,258855,858240,5503.12,79.6863,0.236,1.99164e+07,20,24796,1891.49,2231.4
26,2052.38,82.5045,19303,9323,389,382,268835,856619,5567.96,80.2638,0.222,1.99164e+07,20,24796,1902.69,2221.8
27,2068,82.7823,19302,9743,387,389,278394,856726,5563.66,80.7961,0.226,1.99164e+07,20,24796,1895.46,2236.72
28,2046.49,83.296,18895,9876,382,387,287413,858517,5492.03,81.265,0.236,1.99164e+07,20,24796,1889.79,2229.07
29,2057.79,83.3992,19215,9228,387,382,297400,856897,5556.83,81.6637,0.226,1.99164e+07,20,24796,1894.21,2254.65
30,2046.52,83.2874,18936,9453,384,387,306883,856843,5558.98,82.0232,0.232,1.99164e+07,20,24796,1890.54,2243.43
31,2055.76,83.7289,19276,9364,388,384,316795,856104,5588.54,82.3034,0.224,1.99164e+07,20,24796,1878.42,2246.73
32,2048.8,83.6515,19081,8942,387,388,326934,853795,5680.89,82.5395,0.226,1.99164e+07,20,24796,1889.77,2254.67
33,2045.44,83.7317,18786,8828,381,387,336892,851590,5769.11,82.7153,0.238,1.99164e+07,20,24796,1895.15,2241.3
34,2064.69,83.9162,19524,8675,392,381,347741,847445,5934.92,82.837,0.216,1.99164e+07,20,24796,1896,2232.93
35,2062.1,83.6807,19174,9892,386,392,357023,849076,5869.69,82.9415,0.228,1.99164e+07,20,24796,1893.93,2244.92
36,2058.05,83.2954,19042,10937,381,386,365128,855244,5622.95,83.0134,0.238,1.99164e+07,20,24796,1896.25,2250.5
37,2057.46,83.3625,19401,10016,390,381,374513,856920,5555.91,83.0206,0.22,1.99164e+07,20,24796,1878.42,2234.07
38,2060.64,83.4783,19357,9899,388,390,383971,858154,5506.54,82.9815,0.224,1.99164e+07,20,24796,1889.28,2238.26
39,2049.41,82.8784,18750,8730,380,388,393991,855644,5606.94,82.935,0.24,1.99164e+07,20,24796,1885.27,2211.02
40,2062.09,82.4933,19405,9304,390,380,404092,853746,5682.86,82.8364,0.22,1.99164e+07,20,24796,1890.83,2281.83
