iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
0,2031.99,37.9513,20383,1102,410,0,38923,978065,1755.6,40.3125,0.18,2.04391e+07,20,24651,2034.5,2223.21
1,2048.65,46.8425,19206,7110,387,410,51019,953403,2742.09,41.8256,0.226,2.04391e+07,20,24651,2011.33,2163.44
2,2046.67,50.8983,19394,7587,390,387,62826,931176,3631.19,43.5572,0.22,2.04391e+07,20,24651,2000.93,2152.63
3,2053.42,53.8849,18956,9086,383,390,72696,915291,4266.56,45.6182,0.234,2.04391e+07,20,24651,1989.85,2142.44
4,2053.65,56.3883,19068,9668,388,383,82096,901763,4807.71,47.7194,0.224,2.04391e+07,20,24651,1993.77,2134.29
5,2049.69,58.1156,19002,11465,383,388,89633,895287,5066.75,50.1661,0.234,2.04391e+07,20,24651,1976.02,2133.4
6,2053,61.4395,19186,10798,388,383,98021,887426,5381.19,52.2811,0.224,2.04391e+07,20,24651,1964.62,2155.46
7,2052.67,62.2548,19119,10902,387,388,106238,880899,5642.26,54.448,0.226,2.04391e+07,20,24651,1978.1,2181.89
8,2053.54,64.8515,18947,12357,386,387,112828,880499,5658.26,56.74,0.228,2.04391e+07,20,24651,1950.46,2168.38
9,2049.92,66.8425,19095,13794,387,386,118129,886077,5435.14,59.2831,0.226,2.04391e+07,20,24651,1944.74,2158.18
10,2058.93,68.8391,19058,12407,384,387,124780,888052,5356.14,61.4932,0.232,2.04391e+07,20,24651,1961.62,2174.4
11,2065.22,69.5732,18918,11048,384,384,132650,886412,5421.74,63.4312,0.232,2.04391e+07,20,24651,1949.48,2187.84
12,2045.19,71.3026,19046,11007,388,384,140689,885530,5457,65.2429,0.224,2.04391e+07,20,24651,1950.22,2154.09
13,2049.91,72.7896,19060,11698,385,388,148051,887832,5364.92,67.0831,0.23,2.04391e+07,20,24651,1948.17,2153.91
14,2056.95,74.1699,19061,10312,385,385,156800,886109,5433.85,68.6293,0.23,2.04391e+07,20,24651,1933.92,2171.08
15,2061.1,74.7875,19389,9533,390,385,166656,881356,5623.96,69.9987,0.22,2.04391e+07,20,24651,1940.09,2169.04
16,2047.6,76.2564,18736,10836,380,390,174556,883324,5545.24,71.4302,0.24,2.04391e+07,20,24651,1922.47,2205.04
17,2055.82,77.3737,19217,9318,390,380,184455,879075,5715.22,72.5933,0.22,2.04391e+07,20,24651,1922.37,2179.63
18,2049.36,78.1047,18983,9022,386,390,194416,874354,5904.06,73.6519,0.228,2.04391e+07,20,24651,1931.49,2181.2
19,2058.64,78.8817,19565,9811,395,386,204170,872160,5991.83,74.7232,0.21,2.04391e+07,20,24651,1922.69,2194.82
20,2064.98,79.4318,18506,10752,373,395,211924,876042,5836.52,75.8211,0.254,2.04391e+07,20,24651,1930.33,2205.74
21,2061.17,80.223,19315,9150,389,373,222089,872598,5974.28,76.6827,0.222,2.04391e+07,20,24651,1916.64,2204.34
22,2060.1,80.3285,19313,9827,391,389,231575,871692,6010.53,77.5589,0.218,2.04391e+07,20,24651,1913.26,2232.38
23,2061.61,81.3914,18943,11156,383,391,239362,877103,5794.11,78.4391,0.234,2.04391e+07,20,24651,1926.7,2207.34
24,2062.3,81.5857,19195,8732,389,383,249825,872523,5977.28,79.0982,0.222,2.04391e+07,20,24651,1916.03,2234.29
25,2058.92,82.5476,18837,9762,381,389,258900,873224,5949.26,79.7324,0.238,2.04391e+07,20,24651,1914.47,2221.16
26,2046.89,83.2814,18825,10701,381,381,267024,878469,5739.46,80.3802,0.238,2.04391e+07,20,24651,1905.25,2191.63
27,2051.82,82.9132,19613,8659,398,381,277978,873444,5940.46,80.8894,0.204,2.04391e+07,20,24651,1912.82,2202.21
28,2056.52,83.6049,18385,10440,373,398,285923,878544,5736.44,81.3855,0.254,2.04391e+07,20,24651,1913.02,2211.72
29,2041.97,83.64,19345,9572,393,373,295696,878241,5748.58,81.8136,0.214,2.04391e+07,20,24651,1900.31,2196.29
30,2056.32,83.9575,18811,10727,382,393,303780,883748,5528.3,82.2197,0.236,2.04391e+07,20,24651,1899.02,2236.05
31,2053.6,83.9251,19359,9418,391,382,313721,883032,5556.95,82.5402,0.218,2.04391e+07,20,24651,1898.11,2207.92
32,2058.99,83.9702,19076,8712,385,391,324085,880065,5675.61,82.7808,0.23,2.04391e+07,20,24651,1902.1,2217.45
33,2058.8,82.6315,19255,9628,389,385,333712,880219,5669.45,83.0486,0.222,2.04391e+07,20,24651,1909.67,2217.03
34,2057.64,84.299,18831,9309,382,389,343234,879872,5683.32,83.1368,0.236,2.04391e+07,20,24651,1914.61,2216.14
35,2055.08,84.2627,19206,8333,390,382,354107,874951,5880.18,83.2346,0.22,2.04391e+07,20,24651,1908.06,2212.44
36,2048.1,83.8794,18893,9601,384,390,363399,875835,5844.83,83.3107,0.232,2.04391e+07,20,24651,1903.45,2201.08
37,2062.11,84.0995,19127,8942,385,384,373584,873703,5930.08,83.3158,0.23,2.04391e+07,20,24651,1895.92,2219.41
38,2057.77,83.7899,19198,9158,389,385,383624,872156,5991.98,83.2988,0.222,2.04391e+07,20,24651,1902.64,2197.06
39,2052.48,83.64,18745,9945,380,389,392424,874555,5896.03,83.2286,0.24,2.04391e+07,20,24651,1896.86,2235.07
40,2058.67,83.4915,19285,8119,390,380,403590,868247,6148.35,83.1373,0.22,2.04391e+07,20,24651,1904.81,2216.51
41,2059.49,82.863,18857,10962,381,390,411485,874134,5912.87,82.9863,0.238,2.04391e+07,20,24651,1894.67,2265.93
